Country,Place,Start date,End date,Level,url,update,Confirmed
United Kingdom,,2020-03-24,2020-05-07,National,https://www.thetimes.co.uk/article/dominic-raab-to-announce-lockdown-for-3-more-weeks-j335kmbv0,2020-04-14,False
Colombia,,2020-03-24,2020-04-26,National,https://en.wikipedia.org/wiki/Curfews_and_lockdowns_related_to_the_2019%E2%80%9320_coronavirus_pandemic#cite_note-16,2020-04-14,False
Nigeria,Lagos,2020-03-30,2020-04-28,City,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html,2020-04-14,
United States,Idaho,2020-03-25,,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
Indonesia,Jakarta,2020-04-10,2020-04-23,Province,,2020-04-14,False
United States,Colorado,2020-03-26,2020-04-17,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Massachusetts,2020-03-24,2020-05-07,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Minnesota,2020-03-27,2020-05-04,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Mississippi,2020-04-03,2020-04-17,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Alaska,2020-03-28,2020-04-18,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Arkansas,2020-03-17,,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
China,Qianjiang,2020-01-24,2020-03-13,City,,2020-04-14,True
China,Wuhan,2020-01-23,2020-04-08,City,,2020-04-14,True
Puerto Rico,,2020-03-15,2020-05-03,National,https://www.miamiherald.com/news/nation-world/world/americas/article241942531.html,2020-04-14,False
United States,North Dakota,2020-03-30,2020-05-01,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
Saudi Arabia,Jeddah,2020-03-29,2020-04-21,City,,2020-04-14,False
Papua New Guinea,,2020-03-24,2020-04-07,National,,2020-04-14,False
Kuwait,,2020-03-14,2020-03-29,National,,2020-04-14,False
Jordan,,2020-03-21,2020-04-21,National,,2020-04-14,False
United States,Kentucky,2020-03-23,2020-05-01,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
United States,Georgia,2020-04-03,,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-14,False
El Salvador,,2020-03-12,2020-04-02,National,,2020-04-14,False
